city,city_development_index,gender,relevent_experience,enrolled_university,education_level,major_discipline,experience,company_size,company_type,last_new_job,training_hours,target
0,0.92,0,0,0,0,0,0,0,0,0,36,1.0
1,0.7759999999999999,0,1,0,0,0,1,0,0,1,47,0.0
2,0.624,0,1,1,0,0,2,0,0,2,83,0.0
3,0.789,0,1,1,0,1,3,0,0,2,52,1.0
4,0.767,0,0,0,1,0,0,0,1,3,8,0.0
5,0.764,0,0,2,0,0,4,0,1,0,24,1.0
6,0.92,0,0,0,2,0,2,0,1,0,24,0.0
7,0.762,0,0,0,0,0,5,1,0,1,18,1.0
0,0.92,0,0,0,0,0,6,0,0,0,46,1.0
0,0.92,0,0,0,0,0,7,2,0,1,123,0.0
2,0.624,0,1,1,2,0,8,2,0,2,32,1.0
0,0.92,0,0,0,0,0,2,3,0,0,108,0.0
8,0.913,0,0,0,0,0,0,4,0,4,23,0.0
2,0.624,0,1,0,0,0,8,4,0,2,24,0.0
2,0.624,0,1,1,2,0,2,4,0,2,26,0.0
9,0.926,0,0,0,0,0,9,5,0,1,18,0.0
0,0.92,0,0,0,0,0,10,0,0,2,106,0.0
2,0.624,0,0,0,0,0,8,3,0,5,7,0.0
2,0.624,0,0,0,0,0,6,2,0,2,23,1.0
10,0.8270000000000001,1,0,0,0,2,11,2,0,0,132,1.0
11,0.843,0,0,0,1,0,4,6,0,0,68,0.0
9,0.926,0,0,0,1,0,4,6,0,5,50,0.0
12,0.804,0,0,0,1,0,12,6,0,0,48,0.0
1,0.7759999999999999,0,0,0,0,3,3,4,0,0,65,0.0
2,0.624,0,0,0,0,0,2,4,0,0,13,0.0
13,0.855,0,1,0,2,0,11,4,0,2,22,0.0
2,0.624,0,0,2,0,0,13,7,0,0,148,1.0
0,0.92,0,0,0,0,2,2,7,0,5,72,0.0
14,0.887,0,0,0,2,2,4,1,0,0,8,1.0
2,0.624,0,0,0,0,0,14,0,1,5,68,1.0
0,0.92,0,0,0,0,0,0,6,0,4,40,0.0
0,0.92,0,0,2,0,0,15,3,0,1,141,0.0
0,0.92,1,1,1,0,0,2,3,0,0,24,0.0
6,0.92,1,0,0,0,0,0,6,0,1,82,0.0
15,0.91,0,0,0,0,1,16,3,0,4,145,0.0
0,0.92,0,0,0,0,0,12,5,2,5,206,0.0
9,0.926,0,1,2,2,0,10,2,3,0,152,0.0
9,0.926,0,0,0,3,0,0,6,0,3,42,1.0
0,0.92,0,1,0,0,0,16,6,0,3,50,0.0
16,0.884,0,1,0,0,0,17,6,0,2,106,0.0
9,0.926,1,0,1,1,0,9,4,4,5,14,0.0
17,0.924,0,0,0,2,0,11,5,0,5,36,0.0
2,0.624,0,0,0,1,0,18,0,2,0,112,1.0
18,0.6659999999999999,0,1,0,0,4,19,0,0,2,108,0.0
2,0.624,0,0,2,1,0,19,3,0,4,7,1.0
2,0.624,1,1,1,1,0,2,3,0,2,26,1.0
2,0.624,0,0,0,0,0,2,6,0,2,87,1.0
0,0.92,2,0,0,0,0,15,2,4,3,52,1.0
19,0.5579999999999999,0,0,0,0,4,1,2,4,1,20,1.0
20,0.923,0,0,0,0,0,4,5,0,0,21,0.0
19,0.5579999999999999,0,1,0,0,0,11,5,0,0,92,1.0
18,0.6659999999999999,0,0,0,0,0,12,6,0,5,102,0.0
21,0.794,0,1,0,0,3,2,2,0,1,26,0.0
17,0.924,0,0,0,1,0,17,1,2,5,7,0.0
9,0.926,0,1,1,2,0,11,2,0,0,43,0.0
17,0.924,0,0,0,0,0,0,6,0,0,45,0.0
22,0.754,0,0,1,0,0,8,0,2,5,52,0.0
0,0.92,0,0,0,0,0,0,0,2,5,19,0.0
2,0.624,0,0,1,0,0,8,5,1,5,32,1.0
4,0.767,0,0,0,0,3,0,6,0,1,26,1.0
13,0.855,0,0,2,0,0,18,6,0,0,90,0.0
23,0.939,0,0,0,0,0,18,6,0,4,25,0.0
24,0.8270000000000001,0,0,0,1,0,5,1,0,0,15,0.0
14,0.887,0,0,0,1,3,0,6,0,1,48,0.0
25,0.55,0,1,1,2,3,17,6,0,1,98,0.0
26,0.865,0,0,0,0,0,12,0,0,5,142,1.0
13,0.855,2,1,0,1,3,11,2,0,3,13,0.0
15,0.91,0,0,0,0,0,1,2,0,1,47,0.0
15,0.91,1,0,0,1,3,13,7,4,0,28,0.0
27,0.698,1,1,0,1,3,8,7,0,2,228,1.0
18,0.6659999999999999,0,0,0,0,0,0,7,0,3,22,0.0
2,0.624,0,1,1,0,0,3,7,0,2,18,1.0
10,0.8270000000000001,0,0,0,0,0,8,5,0,0,29,0.0
13,0.855,0,0,0,1,0,2,6,0,0,46,0.0
25,0.55,0,1,1,0,0,3,6,0,2,12,0.0
0,0.92,0,0,0,0,0,2,6,0,5,17,0.0
28,0.893,0,0,0,1,0,2,0,0,5,65,0.0
0,0.92,0,1,0,0,3,17,6,0,0,35,0.0
13,0.855,0,1,1,0,0,19,2,0,4,14,0.0
0,0.92,1,0,0,1,0,8,1,2,0,4,0.0
0,0.92,0,0,0,0,0,1,0,0,1,12,0.0
6,0.92,0,0,0,0,0,0,0,0,5,108,0.0
0,0.92,0,1,0,0,0,0,0,0,0,136,0.0
0,0.92,0,0,0,0,0,2,5,0,0,27,0.0
29,0.7959999999999999,0,0,2,1,0,11,0,1,0,74,0.0
16,0.884,0,0,0,0,0,1,5,2,0,86,0.0
30,0.866,1,1,2,0,0,3,5,0,5,83,0.0
0,0.92,1,1,1,2,0,11,5,0,4,75,0.0
31,0.698,0,1,1,1,0,4,5,4,5,42,0.0
0,0.92,1,0,0,0,0,18,6,4,0,332,0.0
8,0.913,0,1,1,0,0,11,6,4,0,140,0.0
15,0.91,0,1,0,2,0,17,6,4,2,182,0.0
0,0.92,1,1,0,0,3,17,6,0,0,13,1.0
